"","Network.size","Bubble.size","PCR.frequency","R","Percentage.infected","sd"
"1",20,"none","monthly",1,21.1891891891892,14.2911429866808
"2",20,"none","monthly",1.5,27.7027027027027,19.3943796323352
"3",20,"none","monthly",2,37.1756756756757,25.4767192999295
"4",20,"none","monthly",2.5,45.2567567567568,27.5486004542491
"5",20,"none","none",1,22.5540540540541,14.9509219576872
"6",20,"none","none",1.5,35.1081081081081,22.043744041506
"7",20,"none","none",2,42.3243243243243,25.0985661637288
"8",20,"none","none",2.5,56.3243243243243,25.7447785210012
"9",20,"none","semiweekly",1,18.6486486486486,9.24756035012568
"10",20,"none","semiweekly",1.5,23.4864864864865,13.7241258037204
"11",20,"none","semiweekly",2,28.5945945945946,15.489069506366
"12",20,"none","semiweekly",2.5,33.4189189189189,19.8357279885029
"13",20,"none","weekly",1,20.7432432432432,11.9173973419273
"14",20,"none","weekly",1.5,26.972972972973,16.3213512151636
"15",20,"none","weekly",2,30.0675675675676,19.4101298043904
"16",20,"none","weekly",2.5,41.1621621621622,24.3853744141261
"17",20,"none","workday",1,15.6081081081081,7.13733313442092
"18",20,"none","workday",1.5,20.3513513513514,11.1657365691789
"19",20,"none","workday",2,21.6621621621622,13.3445388783299
"20",20,"none","workday",2.5,26.4864864864865,16.5698639272942
"21",50,"none","monthly",1,25.372972972973,11.2427525756776
"22",50,"none","monthly",1.5,40.2891891891892,16.5060633234566
"23",50,"none","monthly",2,56.7945945945946,18.8257493987641
"24",50,"none","monthly",2.5,65.1027027027027,19.0101234947973
"25",50,"none","none",1,28.3783783783784,13.3791717388281
"26",50,"none","none",1.5,42.6918918918919,17.8563824424484
"27",50,"none","none",2,55.8459459459459,20.1121933556812
"28",50,"none","none",2.5,73.2486486486487,16.9414354325964
"29",50,"none","semiweekly",1,18.6972972972973,8.21955636316132
"30",50,"none","semiweekly",1.5,25.5945945945946,12.2898988969704
"31",50,"none","semiweekly",2,31.9945945945946,15.179117083275
"32",50,"none","semiweekly",2.5,37.9324324324324,15.7049346527376
"33",50,"none","weekly",1,22.7081081081081,9.48462016501574
"34",50,"none","weekly",1.5,29.2810810810811,12.3412326657001
"35",50,"none","weekly",2,40.1837837837838,15.8463674902407
"36",50,"none","weekly",2.5,51.7378378378378,18.7646874344146
"37",50,"none","workday",1,16.3405405405405,5.70244031616901
"38",50,"none","workday",1.5,18.9459459459459,7.50570702622644
"39",50,"none","workday",2,22.0513513513514,10.5320885870888
"40",50,"none","workday",2.5,27.2162162162162,13.1149907315791
"41",100,"none","monthly",1,28.8864864864865,9.13530768453717
"42",100,"none","monthly",1.5,47.0837837837838,12.6313972972798
"43",100,"none","monthly",2,63.972972972973,11.8497135182411
"44",100,"none","monthly",2.5,73.6918918918919,9.36676455307494
"45",100,"none","none",1,33.4081081081081,11.5027421279483
"46",100,"none","none",1.5,50.1594594594595,13.9286204653919
"47",100,"none","none",2,66.9162162162162,13.4430275005075
"48",100,"none","none",2.5,79.7918918918919,8.38677260778408
"49",100,"none","semiweekly",1,18.5459459459459,5.38956158115836
"50",100,"none","semiweekly",1.5,26.1702702702703,8.37310603899934
"51",100,"none","semiweekly",2,35.0378378378378,11.7313388480996
"52",100,"none","semiweekly",2.5,46.0783783783784,13.5026715529608
"53",100,"none","weekly",1,23.8108108108108,6.46510723538701
"54",100,"none","weekly",1.5,32.6864864864865,10.4454119966859
"55",100,"none","weekly",2,41.3108108108108,13.0190251388964
"56",100,"none","weekly",2.5,58.5108108108108,11.4684952750747
"57",100,"none","workday",1,17.4891891891892,5.20339593441521
"58",100,"none","workday",1.5,22.3486486486486,7.76236157569413
"59",100,"none","workday",2,26.7351351351351,9.30436652657808
"60",100,"none","workday",2.5,34.0135135135135,12.6400143714739
"61",250,"none","monthly",1,33.6189189189189,6.63693134462375
"62",250,"none","monthly",1.5,52.1891891891892,7.31371441113982
"63",250,"none","monthly",2,67.2378378378378,6.57302250505822
"64",250,"none","monthly",2.5,79.0216216216216,4.45329923304328
"65",250,"none","none",1,37.1027027027027,8.26155995541786
"66",250,"none","none",1.5,57.5918918918919,8.56770441162668
"67",250,"none","none",2,73.0918918918919,5.77870142377575
"68",250,"none","none",2.5,82.6531561461794,4.58569029963204
"69",250,"none","semiweekly",1,21.6621621621622,4.24912750573009
"70",250,"none","semiweekly",1.5,29.5,7.09330918218975
"71",250,"none","semiweekly",2,39.7486486486486,7.32274295772356
"72",250,"none","semiweekly",2.5,50.3216216216216,8.13001553429994
"73",250,"none","weekly",1,26.3594594594595,5.36781060860311
"74",250,"none","weekly",1.5,37.1783783783784,7.54403460745887
"75",250,"none","weekly",2,51.827027027027,7.99386760122271
"76",250,"none","weekly",2.5,61.927027027027,7.50932892490801
"77",250,"none","workday",1,19.4702702702703,3.74922850292596
"78",250,"none","workday",1.5,24.5810810810811,5.54398010766643
"79",250,"none","workday",2,32,6.79252922098651
"80",250,"none","workday",2.5,37.6837837837838,8.05940670977263
